h,CD,CF
2.187940000000000197e-03,2.852468999999999838e-03,2.705404725967780043e-03
4.375880000000000394e-03,2.847932999999999975e-03,2.704484748352509790e-03
8.751750000000000848e-03,2.840044999999999809e-03,2.702154033620429805e-03
1.750350000000000170e-02,2.822640999999999865e-03,2.694975942429290051e-03
3.500700000000000339e-02,2.773859000000000047e-03,2.667377737744900182e-03
