h,CD,CF
3.380617018914066491e-02,2.808900489999999802e-03,2.672133967280387878e-03
1.719797901225274261e-02,2.839364980000000024e-03,2.697968157008290291e-03
8.674687714152543028e-03,2.850006997999999896e-03,2.705594059079885483e-03
4.356523108017740752e-03,2.854829190999999804e-03,2.708219457417726517e-03
2.183088712239920383e-03,2.857782470999999970e-03,2.709332155063748360e-03
