h,CD,CF
2.187940000000000197e-03,2.859852879999999920e-03,2.705621530000000118e-03
4.375880000000000394e-03,2.861309509999999945e-03,2.706737490000000069e-03
8.751750000000000848e-03,2.866209169999999959e-03,2.711151729999999871e-03
1.750350000000000170e-02,2.884378850000000015e-03,2.728346970000000010e-03
3.500700000000000339e-02,2.954381519999999938e-03,2.795685080000000124e-03
