log(y+),u+
1.670560000000000045e+00,1.450459999999999994e+01
1.683829999999999938e+00,1.457920000000000016e+01
1.697100000000000053e+00,1.465370000000000061e+01
1.710369999999999946e+00,1.472809999999999953e+01
1.723640000000000061e+00,1.480230000000000068e+01
1.736909999999999954e+00,1.487650000000000006e+01
1.750170000000000003e+00,1.495049999999999990e+01
1.763430000000000053e+00,1.502449999999999974e+01
1.776699999999999946e+00,1.509849999999999959e+01
1.789959999999999996e+00,1.517239999999999966e+01
1.803220000000000045e+00,1.524629999999999974e+01
1.816480000000000095e+00,1.532019999999999982e+01
1.829739999999999922e+00,1.539409999999999989e+01
1.842999999999999972e+00,1.546799999999999997e+01
1.856260000000000021e+00,1.554199999999999982e+01
1.869510000000000005e+00,1.561589999999999989e+01
1.882770000000000055e+00,1.568989999999999974e+01
1.896030000000000104e+00,1.576399999999999935e+01
1.909280000000000088e+00,1.583810000000000073e+01
1.922530000000000072e+00,1.591220000000000034e+01
1.935789999999999900e+00,1.598649999999999949e+01
1.949040000000000106e+00,1.606080000000000041e+01
1.962299999999999933e+00,1.613520000000000110e+01
1.975549999999999917e+00,1.620970000000000155e+01
1.988799999999999901e+00,1.628419999999999845e+01
2.002050000000000107e+00,1.635889999999999844e+01
2.015299999999999869e+00,1.643370000000000175e+01
2.028560000000000141e+00,1.650860000000000127e+01
2.041809999999999903e+00,1.658360000000000056e+01
2.055060000000000109e+00,1.665879999999999939e+01
2.068309999999999871e+00,1.673410000000000153e+01
2.081560000000000077e+00,1.680949999999999989e+01
2.094809999999999839e+00,1.688500000000000156e+01
2.108060000000000045e+00,1.696079999999999899e+01
2.121309999999999807e+00,1.703659999999999997e+01
2.134560000000000013e+00,1.711270000000000024e+01
2.147800000000000153e+00,1.718890000000000029e+01
2.161049999999999915e+00,1.726529999999999987e+01
2.174300000000000122e+00,1.734179999999999922e+01
2.187549999999999883e+00,1.741860000000000142e+01
2.200800000000000090e+00,1.749559999999999960e+01
2.214049999999999851e+00,1.757280000000000086e+01
2.227289999999999992e+00,1.765020000000000167e+01
2.240540000000000198e+00,1.772779999999999845e+01
2.253789999999999960e+00,1.780570000000000164e+01
2.267040000000000166e+00,1.788380000000000081e+01
2.280289999999999928e+00,1.796219999999999928e+01
2.293530000000000069e+00,1.804090000000000060e+01
2.306779999999999831e+00,1.811980000000000146e+01
2.320030000000000037e+00,1.819900000000000162e+01
2.333279999999999799e+00,1.827860000000000085e+01
2.346519999999999939e+00,1.835839999999999961e+01
2.359770000000000145e+00,1.843850000000000122e+01
2.373019999999999907e+00,1.851899999999999835e+01
2.386260000000000048e+00,1.859990000000000165e+01
2.399509999999999810e+00,1.868110000000000070e+01
2.412760000000000016e+00,1.876259999999999906e+01
2.426000000000000156e+00,1.884459999999999980e+01
2.439249999999999918e+00,1.892689999999999984e+01
2.452500000000000124e+00,1.900969999999999871e+01
2.465739999999999821e+00,1.909290000000000020e+01
2.478990000000000027e+00,1.917660000000000053e+01
2.492239999999999789e+00,1.926069999999999993e+01
2.505479999999999929e+00,1.934519999999999840e+01
2.518730000000000135e+00,1.943029999999999902e+01
2.531979999999999897e+00,1.951589999999999847e+01
2.545220000000000038e+00,1.960200000000000031e+01
2.558469999999999800e+00,1.968860000000000099e+01
2.571720000000000006e+00,1.977580000000000027e+01
2.584960000000000147e+00,1.986360000000000170e+01
2.598209999999999908e+00,1.995200000000000173e+01
2.611450000000000049e+00,2.004090000000000060e+01
2.624699999999999811e+00,2.013050000000000139e+01
2.637950000000000017e+00,2.022080000000000055e+01
2.651190000000000158e+00,2.031169999999999831e+01
2.664439999999999920e+00,2.040330000000000155e+01
2.677690000000000126e+00,2.049549999999999983e+01
2.690929999999999822e+00,2.058859999999999957e+01
2.704180000000000028e+00,2.068230000000000146e+01
2.717420000000000169e+00,2.077680000000000149e+01
2.730669999999999931e+00,2.087209999999999965e+01
2.743920000000000137e+00,2.096819999999999951e+01
2.757159999999999833e+00,2.106510000000000105e+01
2.770410000000000039e+00,2.116290000000000049e+01
2.783650000000000180e+00,2.126150000000000162e+01
2.796899999999999942e+00,2.136100000000000065e+01
2.810150000000000148e+00,2.146140000000000114e+01
2.823389999999999844e+00,2.156259999999999977e+01
2.836640000000000050e+00,2.166489999999999938e+01
2.849880000000000191e+00,2.176810000000000045e+01
2.863129999999999953e+00,2.187219999999999942e+01
2.876380000000000159e+00,2.197739999999999938e+01
2.889619999999999855e+00,2.208350000000000080e+01
2.902870000000000061e+00,2.219069999999999965e+01
2.916110000000000202e+00,2.229889999999999972e+01
2.929359999999999964e+00,2.240820000000000078e+01
2.942610000000000170e+00,2.251849999999999952e+01
2.955849999999999866e+00,2.262989999999999924e+01
2.969100000000000072e+00,2.274239999999999995e+01
2.982340000000000213e+00,2.285589999999999833e+01
2.995589999999999975e+00,2.297060000000000102e+01
3.008840000000000181e+00,2.308630000000000138e+01
3.022079999999999878e+00,2.320319999999999894e+01
3.035330000000000084e+00,2.332110000000000127e+01
3.048569999999999780e+00,2.344010000000000105e+01
3.061819999999999986e+00,2.356019999999999825e+01
3.075070000000000192e+00,2.368130000000000024e+01
3.088309999999999889e+00,2.380339999999999989e+01
3.101560000000000095e+00,2.392650000000000077e+01
3.114799999999999791e+00,2.405059999999999931e+01
3.128049999999999997e+00,2.417549999999999955e+01
3.141300000000000203e+00,2.430130000000000123e+01
3.154539999999999900e+00,2.442780000000000129e+01
3.167790000000000106e+00,2.455499999999999972e+01
3.181029999999999802e+00,2.468280000000000030e+01
3.194280000000000008e+00,2.481109999999999971e+01
3.207520000000000149e+00,2.493959999999999866e+01
3.220769999999999911e+00,2.506830000000000069e+01
3.234020000000000117e+00,2.519699999999999918e+01
3.247259999999999813e+00,2.532550000000000168e+01
3.260510000000000019e+00,2.545339999999999847e+01
3.273750000000000160e+00,2.558060000000000045e+01
3.286999999999999922e+00,2.570670000000000144e+01
3.300250000000000128e+00,2.583129999999999882e+01
3.313489999999999824e+00,2.595410000000000039e+01
3.326740000000000030e+00,2.607440000000000069e+01
3.339980000000000171e+00,2.619180000000000064e+01
3.353229999999999933e+00,2.630549999999999855e+01
3.366480000000000139e+00,2.641499999999999915e+01
3.379719999999999835e+00,2.651930000000000121e+01
3.392970000000000041e+00,2.661739999999999995e+01
3.406210000000000182e+00,2.670840000000000103e+01
3.419459999999999944e+00,2.679100000000000037e+01
3.432710000000000150e+00,2.686400000000000077e+01
3.445949999999999847e+00,2.692599999999999838e+01
3.459200000000000053e+00,2.697560000000000002e+01
3.472440000000000193e+00,2.701170000000000115e+01
3.485689999999999955e+00,2.703379999999999939e+01
3.498930000000000096e+00,2.704350000000000165e+01
3.512179999999999858e+00,2.704579999999999984e+01
3.525430000000000064e+00,2.704589999999999961e+01
3.538670000000000204e+00,2.704579999999999984e+01
3.551919999999999966e+00,2.704579999999999984e+01
3.565160000000000107e+00,2.704579999999999984e+01
3.578409999999999869e+00,2.704579999999999984e+01
3.591660000000000075e+00,2.704579999999999984e+01
3.604900000000000215e+00,2.704579999999999984e+01
