y,u
0.000000000000000000e+00,0.000000000000000000e+00
4.999999999999999774e-07,3.066660000000000132e-03
1.000470000000000011e-06,6.136169999999999819e-03
1.501859999999999924e-06,9.211379999999999915e-03
2.004649999999999941e-06,1.229519999999999919e-02
2.509310000000000120e-06,1.539040000000000026e-02
3.016299999999999818e-06,1.849989999999999968e-02
3.526100000000000003e-06,2.162659999999999930e-02
4.039179999999999671e-06,2.477340000000000098e-02
4.556019999999999791e-06,2.794320000000000137e-02
5.077090000000000208e-06,3.113900000000000001e-02
5.602890000000000324e-06,3.436360000000000109e-02
6.133899999999999836e-06,3.762019999999999947e-02
6.670619999999999840e-06,4.091159999999999936e-02
7.213539999999999887e-06,4.424089999999999967e-02
7.763180000000000777e-06,4.761119999999999935e-02
8.320030000000000367e-06,5.102550000000000141e-02
8.884630000000000010e-06,5.448689999999999783e-02
9.457489999999999807e-06,5.799859999999999738e-02
1.003920000000000037e-05,6.156369999999999898e-02
1.063020000000000031e-05,6.518549999999999345e-02
1.123099999999999970e-05,6.886710000000000054e-02
1.184240000000000032e-05,7.261170000000000124e-02
1.246469999999999943e-05,7.642269999999999619e-02
1.309870000000000047e-05,8.030339999999999701e-02
1.374479999999999925e-05,8.425699999999999856e-02
1.440370000000000069e-05,8.828690000000000149e-02
1.507609999999999953e-05,9.239630000000000065e-02
1.576240000000000006e-05,9.658869999999999956e-02
1.646339999999999894e-05,1.008669999999999983e-01
1.717980000000000109e-05,1.052349999999999952e-01
1.791210000000000084e-05,1.096960000000000018e-01
1.866099999999999972e-05,1.142529999999999935e-01
1.942739999999999970e-05,1.189090000000000008e-01
2.021179999999999849e-05,1.236669999999999991e-01
2.101500000000000124e-05,1.285300000000000054e-01
2.183779999999999952e-05,1.335010000000000085e-01
2.268080000000000145e-05,1.385820000000000107e-01
2.354499999999999904e-05,1.437759999999999871e-01
2.443110000000000060e-05,1.490849999999999953e-01
2.533990000000000111e-05,1.545100000000000084e-01
2.627229999999999916e-05,1.600530000000000008e-01
2.722909999999999990e-05,1.657150000000000012e-01
2.821129999999999873e-05,1.714970000000000105e-01
2.921970000000000079e-05,1.773969999999999991e-01
3.025530000000000152e-05,1.834159999999999957e-01
3.131900000000000287e-05,1.895509999999999973e-01
3.241190000000000049e-05,1.958010000000000028e-01
3.353490000000000312e-05,2.021620000000000084e-01
3.468909999999999962e-05,2.086300000000000099e-01
3.587559999999999919e-05,2.152000000000000024e-01
3.709549999999999745e-05,2.218650000000000067e-01
3.834989999999999683e-05,2.286169999999999869e-01
3.963989999999999972e-05,2.354479999999999906e-01
4.096690000000000243e-05,2.423480000000000079e-01
4.233190000000000038e-05,2.493049999999999988e-01
4.373629999999999662e-05,2.563059999999999783e-01
4.518140000000000079e-05,2.633389999999999898e-01
4.666860000000000241e-05,2.703880000000000172e-01
4.819909999999999733e-05,2.774389999999999912e-01
4.977460000000000283e-05,2.844749999999999779e-01
5.139630000000000121e-05,2.914800000000000169e-01
5.306580000000000276e-05,2.984379999999999811e-01
5.478469999999999743e-05,3.053310000000000191e-01
5.655450000000000207e-05,3.121459999999999790e-01
5.837700000000000029e-05,3.188659999999999828e-01
6.025380000000000238e-05,3.254779999999999895e-01
6.218660000000000528e-05,3.319679999999999853e-01
6.417729999999999962e-05,3.383269999999999889e-01
6.622769999999999612e-05,3.445429999999999882e-01
6.833970000000000572e-05,3.506090000000000040e-01
7.051530000000000569e-05,3.565189999999999748e-01
7.275650000000000043e-05,3.622679999999999789e-01
7.506540000000000131e-05,3.678540000000000143e-01
7.744410000000000616e-05,3.732759999999999967e-01
7.989480000000000626e-05,3.785339999999999816e-01
8.241989999999999332e-05,3.836300000000000265e-01
8.502159999999999926e-05,3.885669999999999957e-01
8.770250000000000268e-05,3.933490000000000042e-01
9.046490000000000184e-05,3.979809999999999737e-01
