y,mut
2.816647103999999941e-04,2.014698823000000161e+01
2.904023148000000210e-04,2.082805164000000175e+01
2.994100834999999998e-04,2.152555685999999824e+01
3.086963964000000236e-04,2.224009449000000060e+01
3.182698925999999742e-04,2.297226416999999898e+01
3.281394785999999873e-04,2.372267374000000117e+01
3.383143362000000094e-04,2.449193839999999867e+01
3.488039309000000028e-04,2.528068000000000026e+01
3.596180216000000257e-04,2.608952634999999987e+01
3.707666685000000060e-04,2.691911053999999837e+01
3.822602434999999919e-04,2.777007027999999877e+01
3.941094389999999980e-04,2.864304732000000087e+01
4.063252785999999731e-04,2.953868672000000117e+01
4.189191267999999892e-04,3.045763626000000102e+01
4.319026996000000147e-04,3.140054572000000022e+01
4.452880759999999771e-04,3.236806615999999792e+01
4.590877084000000142e-04,3.336084916000000078e+01
4.733144347000000241e-04,3.437954605000000186e+01
4.879814903999999754e-04,3.542480695999999796e+01
5.031025201000000231e-04,3.649728000000000350e+01
5.186915913000000097e-04,3.759761019999999831e+01
5.347632064999999907e-04,3.872643846999999795e+01
5.513323174000000267e-04,3.988440049999999815e+01
5.684143384000000208e-04,4.107212553000000099e+01
5.860251610000000080e-04,4.229023509000000303e+01
6.041811687999999866e-04,4.353934163000000268e+01
6.228992524999999673e-04,4.482004708000000193e+01
6.421968256999999528e-04,4.613294138999999916e+01
6.620918412000000247e-04,4.747860086000000024e+01
6.826028074999999527e-04,4.885758653999999979e+01
7.037488061000000353e-04,5.027044244999999734e+01
7.255495093999999668e-04,5.171769378999999844e+01
7.480251988000000433e-04,5.319984506000000124e+01
7.711967837000000036e-04,5.471737808999999686e+01
7.950858207999999703e-04,5.627075006999999829e+01
8.197145343000000013e-04,5.786039144000000078e+01
8.451058367000000493e-04,5.948670382000000245e+01
8.712833496000000309e-04,6.115005782000000067e+01
8.982714263000000400e-04,6.285079084000000194e+01
9.260951739999999984e-04,6.458920482999999990e+01
9.547804774999999518e-04,6.636556398999999828e+01
9.843540230999999960e-04,6.818009249000000693e+01
1.014843323000000092e-03,7.003297211000000289e+01
1.046276741999999918e-03,7.192433990000000676e+01
1.078683524000000060e-03,7.385428577000000416e+01
1.112093814999999975e-03,7.582285007000000121e+01
1.146538698999999923e-03,7.783002118999999652e+01
1.182050219000000020e-03,7.987573304999999380e+01
1.218661412000000095e-03,8.195986261999999556e+01
1.256406339000000006e-03,8.408222739999999362e+01
1.295320113999999957e-03,8.624258279000000016e+01
1.335438936999999932e-03,8.844061944999999980e+01
1.376800133999999971e-03,9.067596061000000418e+01
1.419442181000000070e-03,9.294815925999999706e+01
1.463404750000000002e-03,9.525669525000000704e+01
1.508728740000000058e-03,9.760097229000000141e+01
1.555456315000000025e-03,9.998031480999999587e+01
1.603630947000000105e-03,1.023939646999999979e+02
1.653297452999999894e-03,1.048410776999999996e+02
1.704502038999999945e-03,1.073207201999999967e+02
1.757292340000000085e-03,1.098318648999999994e+02
1.811717468000000096e-03,1.123733868000000058e+02
1.867828055999999973e-03,1.149440594000000004e+02
1.925676302999999954e-03,1.175425493999999986e+02
1.985316025999999887e-03,1.201674126000000058e+02
2.046802709000000112e-03,1.228170879999999983e+02
2.110193553000000184e-03,1.254898929000000010e+02
2.175547531999999940e-03,1.281840170000000114e+02
2.242925446000000166e-03,1.308975160999999900e+02
2.312389975000000205e-03,1.336283056999999985e+02
2.384005743999999868e-03,1.363741544000000090e+02
2.457839379000000078e-03,1.391326764000000082e+02
2.533959566000000031e-03,1.419013238999999942e+02
2.612437121999999952e-03,1.446773795000000007e+02
2.693345053999999985e-03,1.474579476000000113e+02
2.776758632999999903e-03,1.502399457999999868e+02
2.862755459000000148e-03,1.530200953000000084e+02
2.951415534999999798e-03,1.557949121999999988e+02
3.042821343000000171e-03,1.585606969000000106e+02
3.137057920000000180e-03,1.613135238000000129e+02
3.234212932999999939e-03,1.640492310999999859e+02
3.334376766999999978e-03,1.667634087000000136e+02
3.437642606000000049e-03,1.694513876000000039e+02
3.544106519000000087e-03,1.721082270999999935e+02
3.653867549999999850e-03,1.747287024999999971e+02
3.767027810999999844e-03,1.773072926000000109e+02
3.883692577000000083e-03,1.798381659000000070e+02
4.003970382000000133e-03,1.823151670000000024e+02
4.127973121000000009e-03,1.847318019999999876e+02
4.255816156000000183e-03,1.870812243999999964e+02
4.387618418999999874e-03,1.893562193999999863e+02
4.523502528999999613e-03,1.915491882999999973e+02
4.663594899999999946e-03,1.936521324999999933e+02
4.808025859999999659e-03,1.956566371000000117e+02
4.956929776000000044e-03,1.975538531999999918e+02
5.110445174000000090e-03,1.993344816000000037e+02
5.268714871000000285e-03,2.009887538000000120e+02
5.431886107000000359e-03,2.025064147999999875e+02
5.600110682999999596e-03,2.038767043999999942e+02
5.773545098000000195e-03,2.050883385999999859e+02
5.952350700999999716e-03,2.061294909000000075e+02
6.136693837000000047e-03,2.069877743000000123e+02
6.326746002000000271e-03,2.076502222999999958e+02
6.522684003000000369e-03,2.081032717999999875e+02
6.724690123000000123e-03,2.083327457000000038e+02
6.932952291000000176e-03,2.083238372000000140e+02
7.147664255999999598e-03,2.080610953999999992e+02
7.369025765000000380e-03,2.075284130999999945e+02
7.597242754000000167e-03,2.067090172999999993e+02
7.832527534999999749e-03,2.055854630999999983e+02
8.075098996999999224e-03,2.041396324000000106e+02
8.325182804999999367e-03,2.023527377999999999e+02
8.583011616000000774e-03,2.002053343000000041e+02
