y,u
1.218660000000000099e-03,6.777990000000000403e-01
1.256409999999999905e-03,6.807579999999999742e-01
1.295319999999999978e-03,6.837299999999999489e-01
1.335440000000000021e-03,6.867140000000000466e-01
1.376800000000000072e-03,6.897119999999999918e-01
1.419439999999999895e-03,6.927240000000000064e-01
1.463399999999999901e-03,6.957499999999999796e-01
1.508730000000000010e-03,6.987900000000000222e-01
1.555460000000000046e-03,7.018459999999999699e-01
1.603629999999999986e-03,7.049180000000000446e-01
1.653299999999999909e-03,7.080060000000000242e-01
1.704500000000000069e-03,7.111119999999999663e-01
1.757289999999999894e-03,7.142340000000000355e-01
1.811719999999999954e-03,7.173749999999999849e-01
1.867830000000000011e-03,7.205350000000000366e-01
1.925679999999999926e-03,7.237130000000000507e-01
1.985320000000000053e-03,7.269120000000000026e-01
2.046800000000000095e-03,7.301309999999999745e-01
2.110190000000000069e-03,7.333720000000000239e-01
2.175550000000000053e-03,7.366340000000000110e-01
2.242930000000000184e-03,7.399189999999999934e-01
2.312390000000000105e-03,7.432269999999999710e-01
2.384010000000000209e-03,7.465589999999999726e-01
2.457840000000000198e-03,7.499149999999999983e-01
2.533960000000000032e-03,7.532959999999999656e-01
2.612440000000000161e-03,7.567040000000000433e-01
2.693350000000000171e-03,7.601379999999999804e-01
2.776760000000000079e-03,7.635990000000000277e-01
2.862759999999999784e-03,7.670890000000000208e-01
2.951420000000000172e-03,7.706070000000000420e-01
3.042819999999999900e-03,7.741550000000000376e-01
3.137060000000000109e-03,7.777330000000000076e-01
3.234209999999999949e-03,7.813419999999999810e-01
3.334380000000000070e-03,7.849829999999999863e-01
3.437640000000000053e-03,7.886549999999999949e-01
3.544110000000000055e-03,7.923620000000000108e-01
3.653870000000000035e-03,7.961019999999999763e-01
3.767030000000000205e-03,7.998760000000000314e-01
3.883689999999999972e-03,8.036860000000000115e-01
4.003969999999999925e-03,8.075309999999999988e-01
4.127969999999999903e-03,8.114139999999999686e-01
4.255819999999999569e-03,8.153329999999999744e-01
4.387620000000000062e-03,8.192899999999999627e-01
4.523499999999999743e-03,8.232850000000000446e-01
4.663589999999999576e-03,8.273190000000000266e-01
4.808029999999999596e-03,8.313920000000000199e-01
4.956930000000000017e-03,8.355050000000000532e-01
5.110439999999999948e-03,8.396569999999999867e-01
5.268710000000000233e-03,8.438499999999999890e-01
5.431889999999999982e-03,8.480830000000000313e-01
5.600110000000000157e-03,8.523570000000000313e-01
5.773549999999999689e-03,8.566709999999999603e-01
5.952350000000000349e-03,8.610250000000000403e-01
6.136690000000000200e-03,8.654180000000000206e-01
6.326749999999999909e-03,8.698510000000000408e-01
6.522680000000000318e-03,8.743229999999999613e-01
6.724690000000000181e-03,8.788319999999999466e-01
6.932950000000000224e-03,8.833769999999999678e-01
7.147660000000000124e-03,8.879569999999999963e-01
7.369030000000000372e-03,8.925699999999999745e-01
7.597239999999999896e-03,8.972139999999999560e-01
7.832530000000000742e-03,9.018850000000000477e-01
8.075099999999999986e-03,9.065819999999999990e-01
8.325179999999999733e-03,9.112999999999999989e-01
8.583010000000000292e-03,9.160340000000000149e-01
8.848830000000000237e-03,9.207809999999999606e-01
