log(y+),u+
-1.060519999999999907e+00,8.699250000000000038e-02
-7.592860000000000165e-01,1.740659999999999985e-01
-5.828579999999999872e-01,2.613010000000000055e-01
-4.574480000000000213e-01,3.487790000000000057e-01
-3.599330000000000029e-01,4.365820000000000256e-01
-2.800130000000000119e-01,5.247899999999999787e-01
-2.121929999999999927e-01,6.134859999999999758e-01
-1.531939999999999968e-01,7.027520000000000433e-01
-1.009020000000000056e-01,7.926710000000000145e-01
-5.387270000000000253e-02,8.833259999999999446e-01
-1.107570000000000082e-02,9.748010000000000286e-01
2.824899999999999980e-02,1.067180000000000017e+00
6.467829999999999413e-02,1.160549999999999971e+00
9.866070000000000395e-02,1.254990000000000050e+00
1.305520000000000014e-01,1.350600000000000023e+00
1.606370000000000020e-01,1.447449999999999903e+00
1.891510000000000136e-01,1.545639999999999903e+00
2.162880000000000080e-01,1.645259999999999945e+00
2.422090000000000076e-01,1.746390000000000109e+00
2.670509999999999828e-01,1.849129999999999940e+00
2.909320000000000239e-01,1.953570000000000029e+00
3.139509999999999801e-01,2.059790000000000010e+00
3.361950000000000216e-01,2.167899999999999938e+00
3.577400000000000024e-01,2.277979999999999894e+00
3.786510000000000153e-01,2.390140000000000153e+00
3.989869999999999806e-01,2.504449999999999843e+00
4.188000000000000056e-01,2.621030000000000193e+00
4.381349999999999967e-01,2.739949999999999886e+00
4.570319999999999938e-01,2.861320000000000086e+00
4.755289999999999795e-01,2.985240000000000116e+00
4.936579999999999857e-01,3.111779999999999990e+00
5.114480000000000137e-01,3.241039999999999921e+00
5.289260000000000073e-01,3.373120000000000118e+00
5.461169999999999636e-01,3.508090000000000153e+00
5.630410000000000137e-01,3.646049999999999791e+00
5.797200000000000131e-01,3.787059999999999871e+00
5.961710000000000065e-01,3.931200000000000028e+00
6.124110000000000387e-01,4.078529999999999767e+00
6.284549999999999859e-01,4.229129999999999612e+00
6.443170000000000286e-01,4.383029999999999760e+00
6.600099999999999856e-01,4.540269999999999584e+00
6.755459999999999798e-01,4.700879999999999725e+00
6.909349999999999659e-01,4.864880000000000315e+00
7.061880000000000379e-01,5.032259999999999955e+00
7.213129999999999820e-01,5.202989999999999782e+00
7.363199999999999745e-01,5.377040000000000042e+00
7.512159999999999949e-01,5.554330000000000211e+00
7.660090000000000510e-01,5.734779999999999767e+00
7.807049999999999823e-01,5.918260000000000076e+00
7.953109999999999902e-01,6.104619999999999713e+00
8.098330000000000251e-01,6.293689999999999785e+00
8.242760000000000087e-01,6.485229999999999606e+00
8.386449999999999738e-01,6.679009999999999891e+00
8.529449999999999532e-01,6.874729999999999563e+00
8.671799999999999509e-01,7.072079999999999700e+00
8.813539999999999708e-01,7.270690000000000097e+00
8.954720000000000457e-01,7.470189999999999664e+00
9.095370000000000399e-01,7.670160000000000089e+00
9.235510000000000108e-01,7.870169999999999888e+00
9.375189999999999912e-01,8.069760000000000488e+00
9.514439999999999564e-01,8.268470000000000653e+00
9.653270000000000461e-01,8.465840000000000032e+00
9.791710000000000136e-01,8.661400000000000432e+00
9.929799999999999738e-01,8.854710000000000747e+00
1.006750000000000034e+00,9.045339999999999492e+00
1.020499999999999963e+00,9.232900000000000773e+00
1.034210000000000074e+00,9.417020000000000834e+00
1.047889999999999988e+00,9.597379999999999356e+00
1.061549999999999994e+00,9.773709999999999454e+00
1.075190000000000090e+00,9.945790000000000575e+00
1.088799999999999990e+00,1.011340000000000039e+01
1.102379999999999916e+00,1.027650000000000041e+01
1.115949999999999998e+00,1.043500000000000050e+01
1.129499999999999948e+00,1.058880000000000088e+01
1.143029999999999990e+00,1.073799999999999955e+01
1.156539999999999901e+00,1.088250000000000028e+01
1.170039999999999969e+00,1.102260000000000062e+01
1.183519999999999905e+00,1.115820000000000078e+01
1.196989999999999998e+00,1.128960000000000008e+01
1.210450000000000026e+00,1.141690000000000005e+01
1.223889999999999922e+00,1.154030000000000022e+01
1.237319999999999975e+00,1.165990000000000038e+01
1.250739999999999963e+00,1.177590000000000003e+01
1.264150000000000107e+00,1.188860000000000028e+01
1.277549999999999963e+00,1.199820000000000064e+01
1.290939999999999976e+00,1.210469999999999935e+01
1.304319999999999924e+00,1.220850000000000080e+01
1.317700000000000093e+00,1.230969999999999942e+01
1.331059999999999910e+00,1.240840000000000032e+01
1.344419999999999948e+00,1.250489999999999924e+01
1.357769999999999921e+00,1.259929999999999950e+01
1.371119999999999894e+00,1.269180000000000064e+01
1.384460000000000024e+00,1.278250000000000064e+01
1.397799999999999931e+00,1.287160000000000082e+01
1.411119999999999930e+00,1.295909999999999940e+01
1.424449999999999994e+00,1.304529999999999923e+01
1.437769999999999992e+00,1.313020000000000032e+01
1.451079999999999925e+00,1.321390000000000065e+01
1.464390000000000081e+00,1.329649999999999999e+01
1.477700000000000014e+00,1.337819999999999965e+01
1.491009999999999946e+00,1.345899999999999963e+01
1.504310000000000036e+00,1.353889999999999993e+01
1.517600000000000060e+00,1.361819999999999986e+01
1.530899999999999928e+00,1.369669999999999987e+01
1.544189999999999952e+00,1.377469999999999928e+01
1.557479999999999976e+00,1.385210000000000008e+01
1.570759999999999934e+00,1.392900000000000027e+01
1.584049999999999958e+00,1.400539999999999985e+01
1.597329999999999917e+00,1.408150000000000013e+01
1.610610000000000097e+00,1.415719999999999956e+01
1.623879999999999990e+00,1.423249999999999993e+01
1.637159999999999949e+00,1.430760000000000076e+01
1.650430000000000064e+00,1.438240000000000052e+01
1.663710000000000022e+00,1.445700000000000074e+01
1.676979999999999915e+00,1.453129999999999988e+01
1.690239999999999965e+00,1.460549999999999926e+01
1.703510000000000080e+00,1.467950000000000088e+01
1.716779999999999973e+00,1.475339999999999918e+01
1.730040000000000022e+00,1.482719999999999949e+01
1.743309999999999915e+00,1.490080000000000027e+01
1.756569999999999965e+00,1.497439999999999927e+01
1.769830000000000014e+00,1.504790000000000028e+01
1.783090000000000064e+00,1.512129999999999974e+01
1.796349999999999891e+00,1.519469999999999921e+01
1.809609999999999941e+00,1.526810000000000045e+01
1.822869999999999990e+00,1.534140000000000015e+01
1.836130000000000040e+00,1.541469999999999985e+01
1.849390000000000089e+00,1.548799999999999955e+01
1.862640000000000073e+00,1.556119999999999948e+01
1.875899999999999901e+00,1.563449999999999918e+01
1.889150000000000107e+00,1.570780000000000065e+01
1.902409999999999934e+00,1.578110000000000035e+01
1.915659999999999918e+00,1.585440000000000005e+01
1.928919999999999968e+00,1.592779999999999951e+01
1.942169999999999952e+00,1.600120000000000076e+01
1.955419999999999936e+00,1.607460000000000022e+01
1.968669999999999920e+00,1.614809999999999945e+01
1.981929999999999970e+00,1.622159999999999869e+01
1.995179999999999954e+00,1.629510000000000147e+01
2.008430000000000160e+00,1.636870000000000047e+01
2.021679999999999922e+00,1.644239999999999924e+01
2.034930000000000128e+00,1.651610000000000156e+01
2.048179999999999890e+00,1.658980000000000032e+01
2.061430000000000096e+00,1.666369999999999862e+01
2.074679999999999858e+00,1.673750000000000071e+01
2.087930000000000064e+00,1.681149999999999878e+01
2.101179999999999826e+00,1.688550000000000040e+01
2.114430000000000032e+00,1.695970000000000155e+01
2.127679999999999794e+00,1.703379999999999939e+01
2.140930000000000000e+00,1.710810000000000031e+01
2.154170000000000140e+00,1.718250000000000099e+01
2.167419999999999902e+00,1.725690000000000168e+01
2.180670000000000108e+00,1.733149999999999835e+01
2.193919999999999870e+00,1.740609999999999857e+01
2.207170000000000076e+00,1.748079999999999856e+01
2.220419999999999838e+00,1.755559999999999832e+01
2.233659999999999979e+00,1.763060000000000116e+01
2.246910000000000185e+00,1.770560000000000045e+01
2.260159999999999947e+00,1.778079999999999927e+01
2.273410000000000153e+00,1.785610000000000142e+01
2.286649999999999849e+00,1.793149999999999977e+01
2.299900000000000055e+00,1.800700000000000145e+01
2.313149999999999817e+00,1.808269999999999911e+01
2.326400000000000023e+00,1.815850000000000009e+01
2.339640000000000164e+00,1.823440000000000083e+01
2.352889999999999926e+00,1.831050000000000111e+01
2.366140000000000132e+00,1.838680000000000092e+01
2.379379999999999828e+00,1.846320000000000050e+01
2.392630000000000035e+00,1.853979999999999961e+01
2.405879999999999797e+00,1.861649999999999849e+01
2.419119999999999937e+00,1.869350000000000023e+01
2.432370000000000143e+00,1.877060000000000173e+01
2.445619999999999905e+00,1.884789999999999921e+01
2.458860000000000046e+00,1.892549999999999955e+01
2.472109999999999808e+00,1.900319999999999965e+01
2.485360000000000014e+00,1.908119999999999905e+01
2.498600000000000154e+00,1.915940000000000154e+01
2.511849999999999916e+00,1.923789999999999978e+01
2.525100000000000122e+00,1.931660000000000110e+01
2.538339999999999819e+00,1.939549999999999841e+01
2.551590000000000025e+00,1.947469999999999857e+01
2.564830000000000165e+00,1.955420000000000158e+01
2.578079999999999927e+00,1.963400000000000034e+01
2.591330000000000133e+00,1.971409999999999840e+01
2.604569999999999830e+00,1.979459999999999908e+01
2.617820000000000036e+00,1.987529999999999930e+01
2.631069999999999798e+00,1.995639999999999858e+01
2.644309999999999938e+00,2.003780000000000072e+01
2.657560000000000144e+00,2.011959999999999837e+01
2.670799999999999841e+00,2.020179999999999865e+01
2.684050000000000047e+00,2.028440000000000154e+01
2.697299999999999809e+00,2.036739999999999995e+01
2.710539999999999949e+00,2.045080000000000098e+01
2.723790000000000155e+00,2.053460000000000107e+01
2.737029999999999852e+00,2.061890000000000001e+01
2.750280000000000058e+00,2.070370000000000132e+01
2.763529999999999820e+00,2.078890000000000171e+01
2.776769999999999960e+00,2.087470000000000070e+01
2.790020000000000167e+00,2.096089999999999876e+01
2.803259999999999863e+00,2.104769999999999897e+01
2.816510000000000069e+00,2.113500000000000156e+01
2.829759999999999831e+00,2.122289999999999921e+01
2.842999999999999972e+00,2.131139999999999901e+01
2.856250000000000178e+00,2.140050000000000097e+01
2.869489999999999874e+00,2.149020000000000152e+01
2.882740000000000080e+00,2.158060000000000045e+01
2.895989999999999842e+00,2.167160000000000153e+01
2.909229999999999983e+00,2.176320000000000121e+01
2.922480000000000189e+00,2.185559999999999903e+01
2.935719999999999885e+00,2.194869999999999877e+01
