y,mut
6.424714810999999567e-03,2.078661499000000106e+02
6.623687223000000041e-03,2.082068328999999949e+02
6.828821264000000356e-03,2.083164519999999982e+02
7.040308323000000340e-03,2.081798705999999868e+02
7.258344907000000186e-03,2.077812958000000094e+02
7.483134045999999609e-03,2.071042785999999865e+02
7.714885286999999606e-03,2.061316985999999929e+02
7.953813299999999351e-03,2.048457488999999896e+02
8.200140669999999785e-03,2.032279662999999914e+02
8.454097435000000257e-03,2.012592315999999926e+02
8.715918288000000166e-03,1.989197388000000046e+02
8.985848165999999609e-03,1.961890869000000066e+02
9.264137595999999766e-03,1.930463104000000101e+02
9.551045484999999557e-03,1.894698486000000059e+02
9.846839121999999972e-03,1.854377594000000045e+02
1.015179232000000022e-02,1.809277039000000116e+02
1.046619099000000060e-02,1.759170837000000063e+02
1.079032570000000059e-02,1.703832854999999995e+02
1.112449914000000067e-02,1.643038329999999974e+02
1.146902236999999998e-02,1.576566162000000020e+02
1.182421483000000058e-02,1.504203491000000099e+02
1.219040713999999977e-02,1.425749359000000140e+02
1.256794016999999986e-02,1.341020813000000089e+02
1.295716595000000020e-02,1.249860077000000018e+02
1.335844584000000015e-02,1.152145157000000069e+02
1.377215329999999932e-02,1.047803040000000010e+02
1.419867296000000036e-02,9.368291472999999314e+01
1.463840157000000086e-02,8.193164824999999496e+01
1.509174798000000040e-02,6.955043793000000107e+01
1.555913499999999998e-02,5.658665847999999698e+01
1.604099758000000070e-02,4.313014602999999880e+01
1.653778180000000167e-02,2.936036109999999866e+01
1.704995334000000001e-02,1.571361064999999968e+01
1.757798530000000137e-02,4.168752669999999938e+00
1.812236941999999934e-02,5.163979530000000207e-01
1.868361421000000119e-02,2.279751896999999972e-01
1.926223934000000082e-02,2.027437239999999863e-01
1.985878497000000131e-02,2.006401121999999981e-01
2.047380618999999902e-02,2.009635717000000099e-01
2.110787294999999855e-02,2.015091180999999954e-01
2.176157758000000012e-02,2.020456790999999863e-01
2.243552728999999996e-02,2.025518417000000126e-01
2.313034980999999907e-02,2.030273378000000128e-01
2.384668960999999920e-02,2.034738660000000032e-01
2.458521350999999869e-02,2.038932145000000029e-01
2.534661070000000099e-02,2.042870373000000017e-01
