X,Y,Z,Density,Momentum_X,Momentum_Y,Momentum_Z,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Laminar_Viscosity,Skin_Friction_Coefficient_X,Skin_Friction_Coefficient_Y,Skin_Friction_Coefficient_Z,Heat_Flux,Y_Plus,Eddy_Viscosity
1.903343439102172852e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.927552938461303711e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.500003099441528320e+00,0.000000000000000000e+00,1.000001192092895508e+00,1.007298827171325684e+00,0.000000000000000000e+00,4.396510121296159923e-05,4.759381511121318908e-08,2.460370073094964027e-03,0.000000000000000000e+00,0.000000000000000000e+00,-9.017627835273742676e-01,8.688000589609146118e-02,0.000000000000000000e+00
1.903343439102172852e+00,4.999999987376213539e-07,0.000000000000000000e+00,9.927554130554199219e-01,7.184891728684306145e-04,-1.892904144540352718e-08,0.000000000000000000e+00,2.500003576278686523e+00,1.707560981500932940e-09,1.000001311302185059e+00,1.007298707962036133e+00,6.094453856348991394e-04,4.614800127455964684e-05,4.759381155849951028e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.140165987045224605e-16
1.903343439102172852e+00,1.000465204015199561e-06,0.000000000000000000e+00,9.927555918693542480e-01,1.437647035345435143e-03,4.428173661086276525e-10,0.000000000000000000e+00,2.500004291534423828e+00,3.416708915793265078e-09,1.000001311302185059e+00,1.007298588752746582e+00,1.219457830302417278e-03,4.554713450488634408e-05,4.759380445307215268e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.430634843519238079e-15
1.903343439102172852e+00,1.501861106589785777e-06,0.000000000000000000e+00,9.927558898925781250e-01,2.158142859116196632e-03,-1.921077963373818420e-09,0.000000000000000000e+00,2.500005483627319336e+00,5.129032754069839939e-09,1.000001311302185059e+00,1.007298231124877930e+00,1.830605091527104378e-03,4.570461169350892305e-05,4.759379734764479508e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.742144162221112569e-14
1.903343439102172852e+00,2.004654106713132933e-06,0.000000000000000000e+00,9.927562475204467773e-01,2.880646847188472748e-03,-1.441420760528444589e-09,0.000000000000000000e+00,2.500007390975952148e+00,6.846123223880340447e-09,1.000001311302185059e+00,1.007297873497009277e+00,2.443455392494797707e-03,4.568764052237384021e-05,4.759378313679007988e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.529936927752172882e-14
1.903343439102172852e+00,2.509312253096140921e-06,0.000000000000000000e+00,9.927567243576049805e-01,3.605831181630492210e-03,-1.688588935344625952e-09,0.000000000000000000e+00,2.500009775161743164e+00,8.569577047978782502e-09,1.000001311302185059e+00,1.007297396659851074e+00,3.058578819036483765e-03,4.569335578707978129e-05,4.759376537322168588e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.357615869767084260e-13
1.903343439102172852e+00,3.016304617631249130e-06,0.000000000000000000e+00,9.927573800086975098e-01,4.334369674324989319e-03,-1.827908824303392521e-09,0.000000000000000000e+00,2.500012636184692383e+00,1.030099738841272483e-08,1.000001311302185059e+00,1.007296800613403320e+00,3.676546737551689148e-03,4.569302836898714304e-05,4.759374050422593427e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.834346255961572858e-13
1.903343439102172852e+00,3.526103228068677709e-06,0.000000000000000000e+00,9.927580952644348145e-01,5.066939629614353180e-03,-1.965028584294259417e-09,0.000000000000000000e+00,2.500016212463378906e+00,1.204199140403261481e-08,1.000001311302185059e+00,1.007296085357666016e+00,4.297933541238307953e-03,4.569334123516455293e-05,4.759371563523018267e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.293268536162021309e-13
1.903343439102172852e+00,4.039182385895401239e-06,0.000000000000000000e+00,9.927589297294616699e-01,5.804220214486122131e-03,-2.070146054578003714e-09,0.000000000000000000e+00,2.500020265579223633e+00,1.379418002045440517e-08,1.000001311302185059e+00,1.007295131683349609e+00,4.923315718770027161e-03,4.569343946059234440e-05,4.759368366080707347e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.113954166015125757e-13
1.903343439102172852e+00,4.556018666335148737e-06,0.000000000000000000e+00,9.927598834037780762e-01,6.546895951032638550e-03,-2.145379429663307747e-09,0.000000000000000000e+00,2.500024795532226562e+00,1.555919126872140623e-08,1.000001311302185059e+00,1.007294178009033203e+00,5.553273018449544907e-03,4.569355587591417134e-05,4.759364813367028546e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.475235623764337145e-12
1.903343439102172852e+00,5.077094101579859853e-06,0.000000000000000000e+00,9.927609562873840332e-01,7.295654155313968658e-03,-2.188765835242634239e-09,0.000000000000000000e+00,2.500030040740966797e+00,1.733866383801796474e-08,1.000001311302185059e+00,1.007293105125427246e+00,6.188388913869857788e-03,4.569366865325719118e-05,4.759360905381981866e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.274904006491218489e-12
1.903343439102172852e+00,5.602892542810877785e-06,0.000000000000000000e+00,9.927622079849243164e-01,8.051187731325626373e-03,-2.199201709629505785e-09,0.000000000000000000e+00,2.500035762786865234e+00,1.913425684563208051e-08,1.000001311302185059e+00,1.007291913032531738e+00,6.829250603914260864e-03,4.569378870655782521e-05,4.759356286854199425e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.373886022992045319e-12
1.903343439102172852e+00,6.133903298177756369e-06,0.000000000000000000e+00,9.927635788917541504e-01,8.814195170998573303e-03,-2.176638647100048729e-09,0.000000000000000000e+00,2.500042438507080078e+00,2.094763296156543220e-08,1.000001311302185059e+00,1.007290482521057129e+00,7.476449944078922272e-03,4.569389056996442378e-05,4.759351313055049104e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.846225851173890931e-12
1.903343439102172852e+00,6.670620678050909191e-06,0.000000000000000000e+00,9.927650690078735352e-01,9.585377760231494904e-03,-2.121324671477964330e-09,0.000000000000000000e+00,2.500049591064453125e+00,2.278048327752912883e-08,1.000001311302185059e+00,1.007288932800292969e+00,8.130582980811595917e-03,4.569399243337102234e-05,4.759345983984530903e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.777829599652340775e-12
1.903343439102172852e+00,7.213543540274258703e-06,0.000000000000000000e+00,9.927666783332824707e-01,1.036544516682624817e-02,-2.032155554942960407e-09,0.000000000000000000e+00,2.500057220458984375e+00,2.463450954337531584e-08,1.000001311302185059e+00,1.007287263870239258e+00,8.792250417172908783e-03,4.569409793475642800e-05,4.759339944371276943e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.267970071946685096e-12
1.903343439102172852e+00,7.763177563901990652e-06,0.000000000000000000e+00,9.927684664726257324e-01,1.115511357784271240e-02,-1.907790592170499622e-09,0.000000000000000000e+00,2.500065803527832031e+00,2.651143304888137209e-08,1.000001311302185059e+00,1.007285475730895996e+00,9.462060406804084778e-03,4.569420707412064075e-05,4.759333194215287222e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.243100240799765999e-11
1.903343439102172852e+00,8.320033884956501424e-06,0.000000000000000000e+00,9.927703738212585449e-01,1.195510290563106537e-02,-1.746739530794627626e-09,0.000000000000000000e+00,2.500075101852416992e+00,2.841299995282042801e-08,1.000001311302185059e+00,1.007283568382263184e+00,1.014062203466892242e-02,4.569431621348485351e-05,4.759326088787929621e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.639833234479137758e-11
1.903343439102172852e+00,8.884630005923099816e-06,0.000000000000000000e+00,9.927725195884704590e-01,1.276614330708980560e-02,-1.547362016296460752e-09,0.000000000000000000e+00,2.500085353851318359e+00,3.034097773024768685e-08,1.000001311302185059e+00,1.007281422615051270e+00,1.082855556160211563e-02,4.569442899082787335e-05,4.759318272817836259e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.132064663706856322e-11
1.903343439102172852e+00,9.457491614739410579e-06,0.000000000000000000e+00,9.927747845649719238e-01,1.358896773308515549e-02,-1.307861596799853032e-09,0.000000000000000000e+00,2.500096082687377930e+00,3.229715517250042467e-08,1.000001311302185059e+00,1.007279038429260254e+00,1.152648311108350754e-02,4.569454176817089319e-05,4.759310101576375018e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.737046179979163441e-11
1.903343439102172852e+00,1.003915167530067265e-05,0.000000000000000000e+00,9.927772283554077148e-01,1.442432031035423279e-02,-1.026278506621736142e-09,0.000000000000000000e+00,2.500108003616333008e+00,3.428335304533902672e-08,1.000001311302185059e+00,1.007276654243469238e+00,1.223503332585096359e-02,4.569465818349272013e-05,4.759300864520810137e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.474499507549744237e-11
1.903343439102172852e+00,1.063015133695444092e-05,0.000000000000000000e+00,9.927798509597778320e-01,1.527294795960187912e-02,-7.004780089303608293e-10,0.000000000000000000e+00,2.500120639801025391e+00,3.630141520716279047e-08,1.000001311302185059e+00,1.007273912429809570e+00,1.295484136790037155e-02,4.569477823679335415e-05,4.759291272193877376e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.366943265332601243e-11
1.903343439102172852e+00,1.123103993450058624e-05,0.000000000000000000e+00,9.927827119827270508e-01,1.613560691475868225e-02,-3.281428184731538522e-10,0.000000000000000000e+00,2.500134229660034180e+00,3.835321393808044377e-08,1.000001311302185059e+00,1.007271051406860352e+00,1.368654798716306686e-02,4.569489829009398818e-05,4.759280969324208854e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.440062636474785052e-11
1.903343439102172852e+00,1.184237771667540073e-05,0.000000000000000000e+00,9.927857518196105957e-01,1.701305992901325226e-02,9.324272604027683542e-11,0.000000000000000000e+00,2.500149011611938477e+00,4.044065704533750250e-08,1.000001311302185059e+00,1.007267951965332031e+00,1.443079765886068344e-02,4.569501834339462221e-05,4.759269600640436693e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.723124834628890767e-11
1.903343439102172852e+00,1.246473220817279071e-05,0.000000000000000000e+00,9.927890300750732422e-01,1.790607161819934845e-02,5.664047009190653625e-10,0.000000000000000000e+00,2.500164747238159180e+00,4.256568431060259172e-08,1.000001311302185059e+00,1.007264614105224609e+00,1.518824230879545212e-02,4.569514567265287042e-05,4.759257521413928771e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.249451122210871290e-11
1.903343439102172852e+00,1.309868275711778551e-05,0.000000000000000000e+00,9.927925467491149902e-01,1.881541498005390167e-02,1.094295432046976657e-09,0.000000000000000000e+00,2.500181436538696289e+00,4.473026748996744573e-08,1.000001311302185059e+00,1.007261037826538086e+00,1.595953665673732758e-02,4.569527300191111863e-05,4.759244731644685089e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.005694763578368622e-10
1.903343439102172852e+00,1.374481871607713401e-05,0.000000000000000000e+00,9.927962422370910645e-01,1.974186860024929047e-02,1.680108940860236544e-09,0.000000000000000000e+00,2.500199556350708008e+00,4.693641741937426559e-08,1.000001311302185059e+00,1.007257342338562012e+00,1.674533635377883911e-02,4.569540396914817393e-05,4.759230876061337767e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.218870004926486672e-10
1.903343439102172852e+00,1.440374217054340988e-05,0.000000000000000000e+00,9.928002953529357910e-01,2.068621106445789337e-02,2.327302128790620372e-09,0.000000000000000000e+00,2.500218629837036133e+00,4.918617690918836161e-08,1.000001311302185059e+00,1.007253170013427734e+00,1.754630729556083679e-02,4.569553857436403632e-05,4.759216309935254685e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.469365185080562242e-10
1.903343439102172852e+00,1.507606521045090631e-05,0.000000000000000000e+00,9.928045272827148438e-01,2.164922468364238739e-02,3.039612561650528733e-09,0.000000000000000000e+00,2.500239133834838867e+00,5.148164206048022606e-08,1.000001311302185059e+00,1.007248878479003906e+00,1.836310699582099915e-02,4.569567681755870581e-05,4.759200677995067963e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.762735374333246341e-10
1.903343439102172852e+00,1.576241447764914483e-05,0.000000000000000000e+00,9.928091168403625488e-01,2.263168804347515106e-02,3.821083893740251369e-09,0.000000000000000000e+00,2.500261068344116211e+00,5.382493739602978167e-08,1.000001311302185059e+00,1.007244229316711426e+00,1.919640041887760162e-02,4.569581869873218238e-05,4.759183624969409721e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.105282059794433280e-10
1.903343439102172852e+00,1.646342570893466473e-05,0.000000000000000000e+00,9.928139448165893555e-01,2.363438345491886139e-02,4.676089737642996624e-09,0.000000000000000000e+00,2.500284433364868164e+00,5.621823717660845432e-08,1.000001311302185059e+00,1.007239341735839844e+00,2.004684507846832275e-02,4.569596421788446605e-05,4.759165861401015718e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.504148000070927083e-10
