X,Y,Z,Density,Momentum_X,Momentum_Y,Momentum_Z,Energy,Nu_Tilde,Pressure,Temperature,Mach,Pressure_Coefficient,Laminar_Viscosity,Skin_Friction_Coefficient_X,Skin_Friction_Coefficient_Y,Skin_Friction_Coefficient_Z,Heat_Flux,Y_Plus,Eddy_Viscosity
9.700840711593627930e-01,1.791206523193977773e-05,0.000000000000000000e+00,9.928840398788452148e-01,2.829821407794952393e-02,2.902389972803121054e-08,0.000000000000000000e+00,2.500422477722167969e+00,6.417984366180462530e-08,1.000007748603820801e+00,1.007174730300903320e+00,2.400181442499160767e-02,2.756537869572639465e-04,4.758931737569582765e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.246016593878465528e-10
9.700840711593627930e-01,1.866104139480739832e-05,0.000000000000000000e+00,9.928910732269287109e-01,2.947244234383106232e-02,3.193286346458990010e-08,0.000000000000000000e+00,2.500456809997558594e+00,6.686260434207724757e-08,1.000007748603820801e+00,1.007167577743530273e+00,2.499767579138278961e-02,2.756541362032294273e-04,4.758905447488359641e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.997599556411103094e-10
9.700840711593627930e-01,1.942737617355305701e-05,0.000000000000000000e+00,9.928985834121704102e-01,3.067190013825893402e-02,3.505114776203299698e-08,0.000000000000000000e+00,2.500493049621582031e+00,6.960743803574587218e-08,1.000007748603820801e+00,1.007159948348999023e+00,2.601492218673229218e-02,2.756544854491949081e-04,4.758878091593032877e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.864788654719177430e-10
9.700840711593627930e-01,2.021178625000175089e-05,0.000000000000000000e+00,9.929065704345703125e-01,3.189730644226074219e-02,3.839209128386755765e-08,0.000000000000000000e+00,2.500531673431396484e+00,7.241690269665923552e-08,1.000007748603820801e+00,1.007151842117309570e+00,2.705416269600391388e-02,2.756548346951603889e-04,4.758848604069498833e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.863521972988451125e-10
9.700840711593627930e-01,2.101499740092549473e-05,0.000000000000000000e+00,9.929150342941284180e-01,3.314933553338050842e-02,4.196997238636868133e-08,0.000000000000000000e+00,2.500572681427001953e+00,7.529358470037550433e-08,1.000007748603820801e+00,1.007143259048461914e+00,2.811597101390361786e-02,2.756552130449563265e-04,4.758817340189125389e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.011774021987605465e-10
9.700840711593627930e-01,2.183776086894795299e-05,0.000000000000000000e+00,9.929240942001342773e-01,3.442861512303352356e-02,4.580004286935945856e-08,0.000000000000000000e+00,2.500616073608398438e+00,7.824014858215377899e-08,1.000007748603820801e+00,1.007134079933166504e+00,2.920087426900863647e-02,2.756556204985827208e-04,4.758784299951912544e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,9.329802486135463369e-10
9.700840711593627930e-01,2.268083881062921137e-05,0.000000000000000000e+00,9.929336309432983398e-01,3.573571518063545227e-02,4.989858126691615325e-08,0.000000000000000000e+00,2.500662326812744141e+00,8.125932993152673589e-08,1.000007748603820801e+00,1.007124423980712891e+00,3.030935488641262054e-02,2.756560279522091150e-04,4.758749128086492419e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.084041412191538711e-09
9.700840711593627930e-01,2.354501702939160168e-05,0.000000000000000000e+00,9.929437637329101562e-01,3.707112744450569153e-02,5.428291061093659664e-08,0.000000000000000000e+00,2.500711202621459961e+00,8.435392118144591223e-08,1.000007748603820801e+00,1.007114171981811523e+00,3.144182637333869934e-02,2.756564645096659660e-04,4.758711824592865014e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.256926340786890250e-09
9.700840711593627930e-01,2.443110133754089475e-05,0.000000000000000000e+00,9.929545521736145020e-01,3.843525424599647522e-02,5.897143751099065412e-08,0.000000000000000000e+00,2.500763177871704102e+00,8.752678581913642120e-08,1.000007748603820801e+00,1.007103204727172852e+00,3.259863331913948059e-02,2.756569301709532738e-04,4.758672034199662448e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.454517950527645098e-09
9.700840711593627930e-01,2.533991209929808974e-05,0.000000000000000000e+00,9.929659366607666016e-01,3.982840478420257568e-02,6.398363439075183123e-08,0.000000000000000000e+00,2.500818014144897461e+00,9.078085838609695202e-08,1.000007748603820801e+00,1.007091641426086426e+00,3.378003090620040894e-02,2.756574249360710382e-04,4.758630467449620483e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.680052319485980661e-09
9.700840711593627930e-01,2.627229696372523904e-05,0.000000000000000000e+00,9.929779767990112305e-01,4.125077277421951294e-02,6.934001106628784328e-08,0.000000000000000000e+00,2.500876188278198242e+00,9.411915158352712751e-08,1.000007748603820801e+00,1.007079482078552246e+00,3.498618304729461670e-02,2.756579197011888027e-04,4.758586058528635476e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.937158211617884263e-09
9.700840711593627930e-01,2.722912358876783401e-05,0.000000000000000000e+00,9.929907321929931641e-01,4.270241037011146545e-02,7.506209698249222129e-08,0.000000000000000000e+00,2.500937461853027344e+00,9.754474916690014652e-08,1.000007748603820801e+00,1.007066488265991211e+00,3.621713444590568542e-02,2.756584726739674807e-04,4.758539162708075310e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.229899376260391364e-09
9.700840711593627930e-01,2.821128327923361212e-05,0.000000000000000000e+00,9.930042028427124023e-01,4.418322071433067322e-02,8.117228134096876602e-08,0.000000000000000000e+00,2.501002311706542969e+00,1.010608272622448567e-07,1.000007748603820801e+00,1.007052898406982422e+00,3.747279942035675049e-02,2.756590547505766153e-04,4.758489424716572103e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.562821066476317355e-09
9.700840711593627930e-01,2.921968552982434630e-05,0.000000000000000000e+00,9.930184483528137207e-01,4.569294303655624390e-02,8.769372072947589913e-08,0.000000000000000000e+00,2.501070499420166016e+00,1.046706401552910393e-07,1.000007748603820801e+00,1.007038474082946777e+00,3.875295072793960571e-02,2.756596659310162067e-04,4.758437199825493735e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.940999888068063228e-09
9.700840711593627930e-01,3.025527257705107331e-05,0.000000000000000000e+00,9.930334687232971191e-01,4.723110422492027283e-02,9.465009753739650478e-08,0.000000000000000000e+00,2.501142501831054688e+00,1.083775273968967667e-07,1.000007748603820801e+00,1.007023215293884277e+00,4.005718976259231567e-02,2.756603062152862549e-04,4.758381777492104447e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.370097756416612356e-09
9.700840711593627930e-01,3.131900666630826890e-05,0.000000000000000000e+00,9.930492639541625977e-01,4.879703745245933533e-02,1.020653570549256983e-07,0.000000000000000000e+00,2.501218318939208984e+00,1.121849280139031180e-07,1.000007748603820801e+00,1.007007122039794922e+00,4.138494282960891724e-02,2.756610047072172165e-04,4.758323868259139999e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.856418739900391301e-09
9.700840711593627930e-01,3.241187732783146203e-05,0.000000000000000000e+00,9.930658936500549316e-01,5.038982629776000977e-02,1.099633450962755887e-07,0.000000000000000000e+00,2.501297712326049805e+00,1.160963591928521055e-07,1.000007748603820801e+00,1.006990313529968262e+00,4.273543506860733032e-02,2.756617323029786348e-04,4.758262406312496751e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.406969900117019279e-09
9.700840711593627930e-01,3.353489955770783126e-05,0.000000000000000000e+00,9.930834174156188965e-01,5.200830101966857910e-02,1.183673745686064649e-07,0.000000000000000000e+00,2.501381158828735352e+00,1.201154589125508210e-07,1.000007748603820801e+00,1.006972551345825195e+00,4.410766810178756714e-02,2.756625181064009666e-04,4.758198102194910462e-08,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.029524352551106858e-09
