variables="x","y","mut"
zone, t="CFL3D"
 9.701266289E-01 2.609802759E-04 1.457022285E+01
 9.701266289E-01 2.690784459E-04 1.513321495E+01
 9.701266289E-01 2.774269378E-04 1.571419907E+01
 9.701266289E-01 2.860335226E-04 1.631368637E+01
 9.701266289E-01 2.949062036E-04 1.693219757E+01
 9.701266289E-01 3.040532465E-04 1.757027245E+01
 9.701266289E-01 3.134831495E-04 1.822845840E+01
 9.701266289E-01 3.232046729E-04 1.890732002E+01
 9.701266289E-01 3.332268971E-04 1.960743523E+01
 9.701266289E-01 3.435591352E-04 2.032939529E+01
 9.701266289E-01 3.542109625E-04 2.107380295E+01
 9.701266289E-01 3.651923325E-04 2.184127617E+01
 9.701266289E-01 3.765134607E-04 2.263245392E+01
 9.701266289E-01 3.881848534E-04 2.344797707E+01
 9.701266289E-01 4.002173664E-04 2.428851128E+01
 9.701266289E-01 4.126222047E-04 2.515472984E+01
 9.701266289E-01 4.254109226E-04 2.604732513E+01
 9.701266289E-01 4.385953944E-04 2.696700287E+01
 9.701266289E-01 4.521879018E-04 2.791447830E+01
 9.701266289E-01 4.662010761E-04 2.889048576E+01
 9.701266289E-01 4.806479556E-04 2.989577103E+01
 9.701266289E-01 4.955420154E-04 3.093109894E+01
 9.701266289E-01 5.108970799E-04 3.199723625E+01
 9.701266289E-01 5.267274100E-04 3.309498215E+01
 9.701266289E-01 5.430477904E-04 3.422512436E+01
 9.701266289E-01 5.598733551E-04 3.538848114E+01
 9.701266289E-01 5.772197619E-04 3.658588028E+01
 9.701266289E-01 5.951031926E-04 3.781816101E+01
 9.701266289E-01 6.135402364E-04 3.908615494E+01
 9.701266289E-01 6.325480645E-04 4.039073563E+01
 9.701266289E-01 6.521443138E-04 4.173276138E+01
 9.701266289E-01 6.723473198E-04 4.311310959E+01
 9.701266289E-01 6.931758253E-04 4.453266525E+01
 9.701266289E-01 7.146491553E-04 4.599230957E+01
 9.701266289E-01 7.367873332E-04 4.749294281E+01
 9.701266289E-01 7.596109645E-04 4.903546143E+01
 9.701266289E-01 7.831412950E-04 5.062075424E+01
 9.701266289E-01 8.074001526E-04 5.224972534E+01
 9.701266289E-01 8.324101800E-04 5.392327881E+01
 9.701266289E-01 8.581946022E-04 5.564229965E+01
 9.701266289E-01 8.847774006E-04 5.740767288E+01
 9.701266289E-01 9.121833136E-04 5.922027588E+01
 9.701266289E-01 9.404378361E-04 6.108098221E+01
 9.701266289E-01 9.695672779E-04 6.299063110E+01
 9.701266289E-01 9.995986475E-04 6.495005798E+01
 9.701266289E-01 1.030560001E-03 6.696009064E+01
 9.701266289E-01 1.062480151E-03 6.902149200E+01
 9.701266289E-01 1.095388667E-03 7.113503265E+01
 9.701266289E-01 1.129316282E-03 7.330142212E+01
 9.701266289E-01 1.164294430E-03 7.552134705E+01
 9.701266289E-01 1.200355822E-03 7.779545593E+01
 9.701266289E-01 1.237533870E-03 8.012432098E+01
 9.701266289E-01 1.275863266E-03 8.250847626E+01
 9.701266289E-01 1.315379515E-03 8.494838715E+01
 9.701266289E-01 1.356119523E-03 8.744445801E+01
 9.701266289E-01 1.398121123E-03 8.999698639E+01
 9.701266289E-01 1.441423432E-03 9.260620880E+01
 9.701266289E-01 1.486066729E-03 9.527226257E+01
 9.701266289E-01 1.532092574E-03 9.799516296E+01
 9.701266289E-01 1.579543576E-03 1.007748260E+02
 9.701266289E-01 1.628464204E-03 1.036110229E+02
 9.701266289E-01 1.678899745E-03 1.065034103E+02
 9.701266289E-01 1.730897231E-03 1.094514542E+02
 9.701266289E-01 1.784504857E-03 1.124544907E+02
